{'distance': 0.021810000762343407, 'elevation': 0, 'calories': 27.95393943786621, 'pulse': '135', 'floors': 0, 'bp': '99/44', 'steps': 30}
{'distance': 0, 'elevation': 0, 'calories': 22.387889862060547, 'pulse': '97', 'floors': 0, 'bp': '99/35', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 21.769439697265625, 'pulse': '89', 'floors': 0, 'bp': '72/06', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 21.52206039428711, 'pulse': '142', 'floors': 0, 'bp': '193/58', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 22.88265037536621, 'pulse': '82', 'floors': 0, 'bp': '71/83', 'steps': 0}
{'distance': 0.06396999955177307, 'elevation': 0, 'calories': 31.540950775146484, 'pulse': 200, 'floors': 0, 'bp': '70/24', 'steps': 88}
{'distance': 0.033440001308918, 'elevation': 3.0480000972747803, 'calories': 26.717039108276367, 'pulse': 200, 'floors': 1, 'bp': '130/61', 'steps': 46}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '98', 'floors': 0, 'bp': '132/97', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '97', 'floors': 0, 'bp': '99/87', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.67719078063965, 'pulse': '80', 'floors': 0, 'bp': '191/97', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': 200, 'floors': 0, 'bp': '168/14', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '107', 'floors': 0, 'bp': '153/34', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.67719078063965, 'pulse': '172', 'floors': 0, 'bp': '141/35', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '83', 'floors': 0, 'bp': '134/96', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': 200, 'floors': 0, 'bp': '72/20', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': 200, 'floors': 0, 'bp': '183/77', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': 200, 'floors': 0, 'bp': '138/59', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '94', 'floors': 0, 'bp': '131/05', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '99', 'floors': 0, 'bp': '124/71', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '91', 'floors': 0, 'bp': '152/91', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '110', 'floors': 0, 'bp': '179/28', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '111', 'floors': 0, 'bp': '87/92', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '93', 'floors': 0, 'bp': '130/18', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '86', 'floors': 0, 'bp': '116/16', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '91', 'floors': 0, 'bp': '86/88', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.800880432128906, 'pulse': 200, 'floors': 0, 'bp': '84/60', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '173', 'floors': 0, 'bp': '129/16', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '131', 'floors': 0, 'bp': '121/70', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '178', 'floors': 0, 'bp': '180/41', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '151', 'floors': 0, 'bp': '168/23', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': 200, 'floors': 0, 'bp': '168/70', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': 200, 'floors': 0, 'bp': '175/33', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '81', 'floors': 0, 'bp': '87/70', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': 200, 'floors': 0, 'bp': '127/82', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '107', 'floors': 0, 'bp': '75/54', 'steps': 0}
{'distance': 0.08070000261068344, 'elevation': 0, 'calories': 35.251651763916016, 'pulse': '167', 'floors': 0, 'bp': '179/23', 'steps': 111}
{'distance': 0.022539999336004257, 'elevation': 0, 'calories': 27.21179962158203, 'pulse': '113', 'floors': 0, 'bp': '174/62', 'steps': 31}
{'distance': 0, 'elevation': 0, 'calories': 22.635269165039062, 'pulse': '98', 'floors': 0, 'bp': '81/35', 'steps': 0}
{'distance': 0.05525000020861626, 'elevation': 0, 'calories': 29.067150115966797, 'pulse': '165', 'floors': 0, 'bp': '126/01', 'steps': 76}
{'distance': 0.043630000203847885, 'elevation': 0, 'calories': 28.69607925415039, 'pulse': '81', 'floors': 0, 'bp': '87/44', 'steps': 60}
{'distance': 0.04871999844908714, 'elevation': 0, 'calories': 33.39630126953125, 'pulse': 200, 'floors': 0, 'bp': '124/74', 'steps': 67}
{'distance': 0.20720000565052032, 'elevation': 0, 'calories': 42.301979064941406, 'pulse': '139', 'floors': 0, 'bp': '76/93', 'steps': 285}
{'distance': 0.11268000304698944, 'elevation': 0, 'calories': 31.417259216308594, 'pulse': '85', 'floors': 0, 'bp': '169/54', 'steps': 155}
{'distance': 0.05452999845147133, 'elevation': 0, 'calories': 31.540950775146484, 'pulse': 200, 'floors': 0, 'bp': '71/91', 'steps': 75}
