{'distance': 0.005090000107884407, 'elevation': 0, 'calories': 25.599689483642578, 'pulse': 200, 'floors': 0, 'bp': '166/51', 'steps': 7}
{'distance': 0, 'elevation': 0, 'calories': 19.29252052307129, 'pulse': '89', 'floors': 0, 'bp': '91/43', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': 200, 'floors': 0, 'bp': '77/48', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': '125', 'floors': 0, 'bp': '95/18', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': '91', 'floors': 0, 'bp': '102/00', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': '98', 'floors': 0, 'bp': '86/09', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': '86', 'floors': 0, 'bp': '82/06', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': 200, 'floors': 0, 'bp': '77/30', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': 200, 'floors': 0, 'bp': '70/07', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': '86', 'floors': 0, 'bp': '193/47', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': '81', 'floors': 0, 'bp': '93/90', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': '130', 'floors': 0, 'bp': '119/04', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': '173', 'floors': 0, 'bp': '198/15', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': '87', 'floors': 0, 'bp': '78/76', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': '86', 'floors': 0, 'bp': '174/70', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': 200, 'floors': 0, 'bp': '187/33', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': '94', 'floors': 0, 'bp': '99/35', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': '116', 'floors': 0, 'bp': '114/18', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': 200, 'floors': 0, 'bp': '92/45', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': '139', 'floors': 0, 'bp': '99/57', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': 200, 'floors': 0, 'bp': '83/56', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': '190', 'floors': 0, 'bp': '162/19', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': '81', 'floors': 0, 'bp': '75/05', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': '80', 'floors': 0, 'bp': '75/28', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': 200, 'floors': 0, 'bp': '92/65', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': 200, 'floors': 0, 'bp': '99/25', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': 200, 'floors': 0, 'bp': '111/32', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': 200, 'floors': 0, 'bp': '197/03', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': 200, 'floors': 0, 'bp': '78/53', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': '83', 'floors': 0, 'bp': '164/39', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': '139', 'floors': 0, 'bp': '100/72', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': '84', 'floors': 0, 'bp': '192/07', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': '114', 'floors': 0, 'bp': '114/26', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': 200, 'floors': 0, 'bp': '189/33', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': '87', 'floors': 0, 'bp': '181/95', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': '144', 'floors': 0, 'bp': '171/44', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': '82', 'floors': 0, 'bp': '87/54', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': '89', 'floors': 0, 'bp': '84/44', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': '108', 'floors': 0, 'bp': '167/79', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': '90', 'floors': 0, 'bp': '188/16', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': 200, 'floors': 0, 'bp': '80/93', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': 200, 'floors': 0, 'bp': '111/01', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': 200, 'floors': 0, 'bp': '96/36', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': 200, 'floors': 0, 'bp': '83/19', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': '98', 'floors': 0, 'bp': '96/94', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': 200, 'floors': 0, 'bp': '86/82', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': 200, 'floors': 0, 'bp': '93/24', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': '82', 'floors': 0, 'bp': '128/77', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': 200, 'floors': 0, 'bp': '111/27', 'steps': 0}
{'distance': 0.003640000009909272, 'elevation': 0, 'calories': 20.281879425048828, 'pulse': 200, 'floors': 0, 'bp': '93/43', 'steps': 5}
{'distance': 0.011629999615252018, 'elevation': 0, 'calories': 23.744640350341797, 'pulse': '186', 'floors': 0, 'bp': '97/98', 'steps': 16}
{'distance': 0, 'elevation': 0, 'calories': 21.518579483032227, 'pulse': 200, 'floors': 0, 'bp': '95/61', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 22.38426971435547, 'pulse': 200, 'floors': 0, 'bp': '81/69', 'steps': 0}
{'distance': 0.061799999326467514, 'elevation': 0, 'calories': 29.80447006225586, 'pulse': '165', 'floors': 0, 'bp': '185/28', 'steps': 85}
{'distance': 0.025439999997615814, 'elevation': 0, 'calories': 25.723360061645508, 'pulse': 200, 'floors': 0, 'bp': '91/01', 'steps': 35}
{'distance': 0.19557000696659088, 'elevation': 3.0480000972747803, 'calories': 46.376251220703125, 'pulse': '84', 'floors': 1, 'bp': '131/76', 'steps': 269}
{'distance': 0.11342000216245651, 'elevation': 0, 'calories': 39.57440185546875, 'pulse': '188', 'floors': 0, 'bp': '183/72', 'steps': 156}
{'distance': 0.01744999922811985, 'elevation': 0, 'calories': 29.433460235595703, 'pulse': '91', 'floors': 0, 'bp': '179/38', 'steps': 24}
{'distance': 0.058889999985694885, 'elevation': 0, 'calories': 35.98796844482422, 'pulse': 200, 'floors': 0, 'bp': '84/71', 'steps': 81}
{'distance': 0.16066999733448029, 'elevation': 0, 'calories': 51.694061279296875, 'pulse': '82', 'floors': 0, 'bp': '119/77', 'steps': 221}
{'distance': 0.01817999966442585, 'elevation': 0, 'calories': 34.3802604675293, 'pulse': '96', 'floors': 0, 'bp': '184/32', 'steps': 25}
{'distance': 0.03999000042676926, 'elevation': 3.0480000972747803, 'calories': 33.638240814208984, 'pulse': 200, 'floors': 1, 'bp': '167/51', 'steps': 55}
